"q_t","beta_hat_1","beta_hat_2","beta_hat_3","beta_hat_4","EU_hat","ET_hat","beta_hat_se_1","beta_hat_se_2","beta_hat_se_3","beta_hat_se_4","EU_se","ET_se","EU_CI_lower","EU_CI_upper","ET_CI_lower","ET_CI_upper"
54,-2.21637859851098,0.0387272812963424,-3.53270038477135,3.12871405822392,0.525221329733536,32.1361352468684,1.57284985525326,0.188548157495175,1.63547239110268,1.78736980216505,0.0995819796169925,5.03173400732971,0.361423549381519,0.689019110085554,23.8596693150571,40.4126011786798
55,-1.55450057237854,0.0243346351969678,-3.87456242899229,3.48000114546812,0.52522132982394,32.1361352572086,1.39696039614316,0.179836704129074,1.58166812430325,1.8708081118536,0.0960697524892311,7.1303913661021,0.367200649001698,0.683242010646182,20.4076851570921,43.8645853573251
56,-0.977194387048034,0.00503613300473842,-3.91646753972368,3.75591974021323,0.525769847560677,32.1741448518811,1.32840530989688,0.181033329403781,1.57924738175882,1.94131700229523,0.0942942154671417,5.59197243985511,0.370669665249005,0.680870029872348,22.9761687023728,41.3721210013895
57,-0.0490070067192704,-0.0184355574616662,-3.86976874356315,4.1397942689343,0.374785283777747,53.811387485716,1.17021522706997,0.204321470078238,1.78358320306794,2.00264035801547,0.0960678645641085,7.0733136836304,0.21676770831599,0.532802859239503,42.176821818631,65.4459531528009
58,-0.656233903822326,-0.0157409683383426,-4.1444380896022,4.8751375916103,0.374706781128262,53.8044023678157,1.60813065746043,0.209432921497169,2.05414437743424,2.23738892116665,0.0970972515559567,6.00403882510221,0.214996014739427,0.534417547517097,43.9286373299889,63.6801674056425
59,0.108457138928272,-0.049067519992207,-4.1965288352203,5.71139697634502,0.543359733325391,50.2613569145864,1.57177374791655,0.218541733474482,2.13205616448022,2.38556056749466,0.0998163458791673,5.52527297557828,0.379176454777,0.707543011873782,41.1730916208095,59.3496222083633
60,-0.0178616652371049,-0.0490604295152703,-4.17173879187158,5.64932228924802,0.525221329733536,32.1361352468684,1.22637888185179,0.211567572508323,1.90611319137599,2.41705074782237,0.0970262806458696,4.98872920793478,0.365627300103566,0.684815359363506,23.9304059153182,40.3418645784187
